-27.38,-24.2,-22.13,-21.02,-20.61,-18.8,-18.99,-18.8,-18.77,-19.04,-19.55,-20.79,-22.39
-21.34,-28.98,-31.82,-32.85,-34.17,-36.14,-37.82,-36.7,-38.12,-37.15,-35.21,-16.2,-20.91
-19.71,-27.37,-43.2,-46.12,-47.16,-47.56,-48.72,-48.29,-48.71,-47.35,-44.65,-27.86,-26.14
-19.61,-23.66,-44.37,-49.22,-50.77,-50.25,-50.12,-50.14,-49.74,-49.15,-47.65,-37.3,-32.7
-19.26,-27.4,-42.7,-48.17,-49.85,-50.03,-50.53,-49.87,-49.59,-48.65,-47.69,-42.16,-36.2
-18.66,-25.67,-41.7,-44.21,-47.5,-49.06,-49.44,-50.03,-49.55,-49.71,-48.03,-43.57,-39.57
-19.52,-23.43,-36.82,-35.98,-44.19,-47.06,-48.3,-48.31,-49.01,-48.14,-47.55,-43.76,-41.18
-18.68,-22.13,-41.2,-47.52,-49.71,-50.54,-50.48,-50.03,-50.88,-50.03,-48.98,-46.4,-41.9
-18.9,-32.36,-43.03,-47.02,-48.1,-50.58,-50.32,-50.6,-50.85,-50.3,-50.3,-47.45,-41.88
-18.77,-20.9,-42.83,-49.51,-50.17,-50.73,-50.57,-50.18,-50.08,-50.2,-49.83,-47.35,-43.06
-20.43,-22.68,-46.22,-49.17,-48.71,-50.3,-50.2,-49.51,-49.33,-48.7,-50.51,-48.77,-43.76
-26.17,-28.51,-35.5,-44.43,-46.33,-47.2,-48.19,-47.57,-47.66,-48.22,-48.72,-46.23,-43.7
-35.7,-38.55,-42.21,-42.7,-47.11,-44.38,-45.61,-46.28,-46.16,-46.17,-45.09,-45.1,-44.33
