-47,-47,-50,-50,-55,-55,-59,-58,-56,-50,-49,-49
-47,-50,-55,-51,-47,-46,-46,-47,-48,-48,-49,-50
-49,-54,-53,-49,-47,-49,-48,-48,-49,-49,-51,-55
-50,-54,-51,-49,-48,-52,-53,-51,-52,-53,-55,-58
-50,-54,-50,-49,-49,-54,-57,-55,-55,-56,-57,-61
-49,-54,-49,-49,-51,-54,-60,-59,-59,-60,-60,-60
-48,-52,-49,-49,-51,-55,-60,-60,-60,-60,-60,-62
-50,-51,-48,-49,-51,-55,-60,-61,-61,-61,-61,-62
-48,-49,-48,-49,-52,-55,-60,-60,-60,-61,-61,-62
-45,-45,-46,-49,-52,-56,-59,-60,-61,-61,-62,-62
-44,-43,-47,-50,-54,-58,-59,-60,-60,-62,-61,-62
-49,-49,-51,-52,-54,-56,-58,-59,-60,-61,-62,-62
