-63.8,-63.8,-66,-64.9,-65,-62,-60,-57.5,-56.5,-56.9,-57.4,-60.2,-67
-59,-54.2,-50.6,-49,-48.4,-48.2,-47.4,-47.4,-45.4,-45.3,-47.5,-50.7,-59
-54.9,-51,-49.6,-48.9,-48.8,-48.8,-47.9,-46.6,-45.5,-45.7,-44,-45.9,-54.6
-55.7,-55.7,-54.7,-56.4,-60.7,-65.3,-58,-55,-54.7,-55.9,-45.8,-45,-52.8
-57,-56,-55,-56.2,-57.7,-59,-56,-54.4,-54.5,-60,-44.5,-45,-53.9
-60,-50.5,-57.7,-57.3,-57.4,-57.9,-55.4,-53.3,-54,-59,-50.5,-44.2,-52.4
-62,-60.4,-58.3,-57.9,-58.2,-58,-56,-53.8,-53.8,-58.3,-44.8,-44.8,-53.5
-63,-61.5,-61,-60,-60,-58.3,-57,-54.6,-53.6,-57.2,-45.8,-43.75,-54
-65,-64,-62,-61.5,-59.3,-59,-56.3,-54.4,-54.4,-54.8,-44.8,-42.8,-56.8
-65.9,-64,-63.4,-62,-62,-60.4,-56.5,-54.4,-54,-53.6,-44.5,-44.6,-58.5
-68,-67,-67,-64,-63.3,-61.8,-59,-56.8,-55.4,-54.5,-44,-52.5,-66
-68.4,-68.2,-66.6,-65.5,-63.8,-61.4,-60,-57.5,-56.6,-56.4,-53.5,-49.3,-49.3
-70,-69,-68,-67.4,-64.7,-63.7,-62.8,-60.9,-60.2,-59.6,-53.5,-49.3,-61
